zip_code,safmr_0br,safmr_1br,safmr_2br,safmr_3br,safmr_4br
19101,"1,300","1,440","1,710","2,060","2,340"
19102,"2,060","2,270","2,700","3,250","3,700"
19103,"2,060","2,270","2,700","3,250","3,700"
19104,"1,260","1,380","1,650","1,990","2,260"
19105,"1,300","1,440","1,710","2,060","2,340"
19106,"2,060","2,270","2,700","3,250","3,700"
19107,"2,000","2,210","2,630","3,170","3,600"
19108,"1,890","2,080","2,470","2,980","3,390"
19109,"1,300","1,440","1,710","2,060","2,340"
19110,"1,300","1,440","1,710","2,060","2,340"
19111,"1,200","1,320","1,570","1,890","2,150"
19112,"1,300","1,440","1,710","2,060","2,340"
19114,"1,320","1,450","1,730","2,080","2,370"
19115,"1,200","1,320","1,570","1,890","2,150"
19116,"1,230","1,350","1,610","1,940","2,210"
19118,"1,770","1,960","2,330","2,810","3,190"
19119,"1,230","1,360","1,620","1,950","2,220"
19120,"1,090","1,200","1,430","1,720","1,960"
19121,"1,200","1,320","1,570","1,890","2,150"
19122,"1,230","1,350","1,610","1,940","2,210"
19123,"1,800","1,980","2,360","2,840","3,230"
19124,"1,070","1,170","1,400","1,690","1,920"
19125,"1,700","1,870","2,230","2,690","3,050"
19126,"1,130","1,240","1,480","1,780","2,030"
19127,"1,790","1,970","2,350","2,830","3,220"
19128,"1,520","1,680","2,000","2,410","2,740"
19129,"1,580","1,740","2,070","2,490","2,840"
19130,"1,900","2,090","2,490","3,000","3,410"
19131,"1,320","1,450","1,730","2,080","2,370"
19132,"1,070","1,170","1,400","1,690","1,920"
19133,990,"1,090","1,300","1,570","1,780"
19134,990,"1,090","1,300","1,570","1,780"
19135,"1,210","1,330","1,590","1,920","2,180"
19136,"1,100","1,220","1,450","1,750","1,990"
19137,"1,240","1,370","1,630","1,960","2,230"
19138,"1,190","1,310","1,560","1,880","2,140"
19139,"1,100","1,220","1,450","1,750","1,990"
19140,"1,090","1,200","1,430","1,720","1,960"
19141,"1,060","1,170","1,390","1,670","1,900"
19142,"1,120","1,230","1,470","1,770","2,010"
19143,"1,110","1,230","1,460","1,760","2,000"
19144,"1,200","1,330","1,580","1,900","2,160"
19145,"1,360","1,500","1,790","2,160","2,450"
19146,"1,710","1,880","2,240","2,700","3,070"
19147,"1,800","1,980","2,360","2,840","3,230"
19148,"1,390","1,540","1,830","2,200","2,510"
19149,"1,330","1,470","1,750","2,110","2,400"
19150,"1,260","1,390","1,660","2,000","2,270"
19151,"1,080","1,190","1,420","1,710","1,950"
19152,"1,200","1,330","1,580","1,900","2,160"
19153,"1,390","1,530","1,820","2,190","2,490"
19154,"1,390","1,540","1,830","2,200","2,510"
19160,"1,300","1,440","1,710","2,060","2,340"
19176,"1,300","1,440","1,710","2,060","2,340"
19190,"1,300","1,440","1,710","2,060","2,340"
19192,"1,300","1,440","1,710","2,060","2,340"
