zip_code,safmr_0br,safmr_1br,safmr_2br,safmr_3br,safmr_4br
19101,830,960,1160,1440,1650
19102,1350,1560,1890,2350,2690
19103,1350,1560,1890,2350,2690
19104,810,940,1140,1420,1620
19105,830,960,1160,1440,1650
19106,1350,1560,1890,2350,2690
19107,1260,1450,1760,2190,2510
19108,830,960,1160,1440,1650
19109,830,960,1160,1440,1650
19110,830,960,1160,1440,1650
19111,790,910,1100,1370,1570
19112,830,960,1160,1440,1650
19114,880,1020,1230,1530,1750
19115,820,950,1150,1430,1640
19116,820,950,1150,1430,1640
19118,1240,1440,1740,2160,2480
19119,810,930,1130,1410,1610
19120,740,850,1030,1280,1470
19121,670,780,940,1170,1340
19122,750,870,1050,1310,1500
19123,1280,1480,1790,2230,2550
19124,740,850,1030,1280,1470
19125,890,1030,1250,1550,1780
19126,740,850,1030,1280,1470
19127,1180,1360,1650,2050,2350
19128,1030,1190,1440,1790,2050
19129,1100,1270,1540,1920,2190
19130,1350,1560,1890,2350,2690
19131,850,980,1190,1480,1700
19132,640,730,890,1110,1270
19133,640,730,890,1110,1270
19134,700,810,980,1220,1400
19135,740,860,1040,1290,1480
19136,730,840,1020,1270,1450
19137,830,960,1160,1440,1650
19138,790,920,1110,1380,1580
19139,730,840,1020,1270,1450
19140,660,760,920,1140,1310
19141,690,800,970,1210,1380
19142,740,860,1040,1290,1480
19143,720,830,1010,1260,1440
19144,810,940,1140,1420,1620
19145,830,960,1160,1440,1650
19146,990,1150,1390,1730,1980
19147,1160,1350,1630,2030,2320
19148,810,940,1140,1420,1620
19149,840,970,1180,1470,1680
19150,830,960,1160,1440,1650
19151,820,950,1150,1430,1640
19152,810,930,1130,1410,1610
19153,910,1060,1280,1590,1820
19154,930,1070,1300,1620,1850
19160,830,960,1160,1440,1650
19176,830,960,1160,1440,1650
19190,830,960,1160,1440,1650
19192,830,960,1160,1440,1650
